Price,Close,High,Low,Open,Volume,Returns,Direction,weights,non_latent_returns
Ticker,^GSPC,^GSPC,^GSPC,^GSPC,^GSPC,,,,
Date,,,,,,,,,
2022-02-08,4521.5400390625,4531.31982421875,4465.39990234375,4480.02001953125,4459620000,,0,1,
2022-02-09,4587.18017578125,4590.02978515625,4547.0,4547.0,4524350000,0.014517207887505545,1,1,0.014517207887505545
2022-02-10,4504.080078125,4588.919921875,4484.31005859375,4553.240234375,5314860000,-0.01811572566845976,0,1,-0.01811572566845976
2022-02-11,4418.64013671875,4526.330078125,4401.41015625,4506.27001953125,5251500000,-0.01896945434456343,0,1,-0.01896945434456343
2022-02-14,4401.669921875,4426.22021484375,4364.83984375,4412.60986328125,4600390000,-0.0038405967262932217,0,1,-0.0038405967262932217
2022-02-15,4471.06982421875,4472.77001953125,4429.27978515625,4429.27978515625,4430830000,0.01576672117072042,1,1,0.01576672117072042
2022-02-16,4475.009765625,4489.5498046875,4429.68017578125,4455.75,4283640000,0.0008812077558950637,1,1,0.0008812077558950637
2022-02-17,4380.259765625,4456.06005859375,4373.81005859375,4456.06005859375,4539420000,-0.021173138152195015,0,1,-0.021173138152195015
2022-02-18,4348.8701171875,4394.60009765625,4327.22021484375,4384.56982421875,4708060000,-0.0071661613961429005,0,1,-0.0071661613961429005
2022-02-22,4304.759765625,4362.1201171875,4267.10986328125,4332.740234375,5121900000,-0.010142945264832837,0,1,-0.010142945264832837
2022-02-23,4225.5,4341.509765625,4221.509765625,4324.93017578125,4797430000,-0.018412122845487655,0,1,-0.018412122845487655
2022-02-24,4288.7001953125,4294.72998046875,4114.64990234375,4155.77001953125,6752130000,0.014956856067329216,1,1,0.014956856067329216
2022-02-25,4384.64990234375,4385.33984375,4286.830078125,4298.3798828125,5177060000,0.022372677655603468,1,1,0.022372677655603468
2022-02-28,4373.93994140625,4388.83984375,4315.1201171875,4354.169921875,6071370000,-0.002442603440647617,0,1,-0.002442603440647617
2022-03-01,4306.259765625,4378.4501953125,4279.5400390625,4363.14013671875,5846230000,-0.015473503680411893,0,1,-0.015473503680411893
2022-03-02,4386.5400390625,4401.47998046875,4322.56005859375,4322.56005859375,5337870000,0.018642691757321028,1,1,0.018642691757321028
2022-03-03,4363.490234375,4416.77978515625,4345.56005859375,4401.31005859375,5039890000,-0.005254666430088317,0,1,-0.005254666430088317
2022-03-04,4328.8701171875,4342.1201171875,4284.97998046875,4342.1201171875,5797380000,-0.007934042550334475,0,1,-0.007934042550334475
2022-03-07,4201.08984375,4327.009765625,4199.85009765625,4327.009765625,6940470000,-0.029518158313449172,0,1,-0.029518158313449172
2022-03-08,4170.7001953125,4276.93994140625,4157.8701171875,4202.66015625,7243120000,-0.00723375351819977,0,1,-0.00723375351819977
2022-03-09,4277.8798828125,4299.39990234375,4223.10009765625,4223.10009765625,5662670000,0.02569824789143582,1,1,0.02569824789143582
